== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Red crayon who is also blue but probably isn't green | terrifying | [Hidden in Sakura Serenity]
ReplicatedStorage | terrifying | start in classic paradise. find a teleporter. (Made by ThirteenthJade)
Robot Liy | terrifying | [Start in the Yoylefactory Realm]
Sharp | terrifying | honey, you okay? you'VE haRd1y t0ucHed YOur !(%!^*@!^! (Start  in Candyland, drop down)
Sierpinski | terrifying | [Hidden in the Barren Desert Realm]
Slime Flashlight | terrifying | press a button in a mechanical area to drain out some slime (Made by KingOfChomiks90)
Soy | terrifying | [Hidden in Polluted Marshlands]
Spinel | terrifying | [Hidden in Classic Paradise]
Sponge Cake | terrifying | [Hidden in the Barren Desert Realm]
Stylus | terrifying | [Hidden in the Yoylefactory]
Theebs | terrifying | [Hidden in Polluted Marshlands]
This is Sparta-Y | terrifying | ...madness? (Start in Desert)
Three-Leaf Clover | terrifying | [Hidden in Classic Paradise]
Torso | terrifying | [Hidden in Polluted Marshlands]
Up Arrow | terrifying | [Hidden in Classic Paradise]
Veterany | terrifying | [Start in Classic Paradise]
Wildy | terrifying | [Hidden in Sakura Serenity]
Yin-Yang | terrifying | [Start in the Yoylefactory Realm]
Your Mom | terrifying | [Hidden in Midnight Rooftops Realm]
A BFDI | arduous | [Hidden in the Yoyleland Realm]
Alien | arduous | find 8 buttons scattered around the entire overworld, no hints!
Ampersand | arduous | [Hidden in the Yoylefactory]
Boblob | arduous | start by looking near black hole
Burger | arduous | MUST.... OBTAIN.... THE BURGER!!!!!!!! (Start in the Fourest)
Demon Four | arduous | [Start in the Yoylefactory Realm]
Desert Pillar | arduous | [Hidden in the Inverted Realm]
Dot | arduous | [Hidden in the Timber Peaks Realm]
Dragon | arduous | [Hidden in the Cherry Grove Realm]
Evil Pin | arduous | [Hidden in the Evil Forest Realm]
Filler | arduous | we love filler objects here! also i'm not giving you a hint.
Font | arduous | [Hidden in the Yoylefactory]
Gaming Device | arduous | [Hidden in the Yoylefactory]
Lemi12 | arduous | [Start in the Yoylefactory Realm]
Nanoboty | arduous | want to do some math? no? well too bad!
Nonexisty | arduous | up in the sky?
Nutty | arduous | [Hidden in Timber Peaks]
PUMPKIN 2.0 | arduous | [Hidden in the Timber Peaks Realm]
Shuttle Birdie | arduous | [Start in the Yoylefactory Realm]
Spongezilla | arduous | [Hidden in the Yoyleland Realm]
Studio | arduous | start by finding a QR code on the main map, you must have roblox studio to get this one! (Made by NTailsGoBrrrrr)
Throne | arduous | near the FORBIDDEN ORB.
Tiddles | arduous | yellowstickmanyt killed his pet fish tiddles, by throwing him out a window. now he's a cat's lunch!
Ulm | arduous | look near where fedora is
Virus | arduous | [Hidden in Timber Peaks]
Wolfy | arduous | [Hidden in the Backrooms]
? | strenuous | [Hidden in Sakura Serenity]
average joe | strenuous | [Start in the Yoylefactory Realm]
Bandy | strenuous | [Hidden in Midnight Rooftops Realm]
BEEP Fusion | strenuous | start in level 4 of the backrooms, and find the stairwell
Birdie | strenuous | [Hidden in Classic Paradise]
blocky on toilet | strenuous | [Hidden in Midnight Rooftops Realm]
Blue Screen of Death | strenuous | [Hidden in the Yoylefactory]
Brainy | strenuous | you need a BIG BRAIN to understand this one. (Hidden in Hall of Fame, but start in Midnight Rooftops. Then, go to the park behind City and insert the correct color combination.)
Cat Witch | strenuous | [Hidden in Polluted Marshlands]
Cauldron | strenuous | find three potions to finish off the cauldron in the jungle. (Made by Just_Summa)
Cobalty | strenuous | [Start in the Yoylefactory Realm]
Deep Fried Breath | strenuous | [Hidden in the Barren Desert Realm]
Dynamite | strenuous | [Hidden in Magma Canyon realm]
Evily | strenuous | [Hidden in the Evil Forest Realm]
Evry Charecter Fused | strenuous | sometimes, i wonder, what is the point of making this game? after all, it's not like in the future this game will be relevant, and besides, there's going to be an end to this game sometime. so what's the point? i could go on and on about why i think it's pointless to work on this game, but it isn't worth it. i guess, i think it's my passion project, i wanna do good, y'know? spooky and funky don't necessarily update this game often, and i feel like... without me, the game wouldn't be where it is today, not to brag though. i mean, we're almost to 1000 objects, and it MIGHT be 1000 objects depending on when you're reading this.
Fax Machine | strenuous | [Hidden in the Yoyleland Realm]
Fedora | strenuous | ycjvv??? hkpf c vgzv kp urcyp, crrna ucog ekrjgt
Frozen Steak | strenuous | [Hidden in the Frozen World Realm]
Galaxy Pillow | strenuous | [Hidden in the Backrooms]
Glitchy | strenuous | YOU SHOULDN'T BE HERE
Grandfather Clock | strenuous | [Hidden in the Backrooms]
Ground | strenuous | [Hidden in the Yoylefactory]
Hornbox | strenuous | the hero that we didn't deserve but needed (Start in Tennis Ball's room)
King Cake | strenuous | [Hidden somewhere else...]
King Skull | strenuous | find 14 pieces of code around the entire map, in red text
Magnifying Glass | strenuous | [Start in the Yoylefactory Realm]
Metronome | strenuous | [Hidden in the Backrooms]
Money Bag | strenuous | [Hidden in the Yoylefactory]
Octahedron | strenuous | [Hidden in the Frozen World Realm]
Oxygen | strenuous | [Hidden in Classic Paradise]
Placeholdery | strenuous | [Hidden in the Backrooms]
Plastic Sun | strenuous | [Hidden in Classic Paradise]
Poison Cake | strenuous | aka "Poise" (Located in Candyland)
Rock | strenuous | [Hidden in Midnight Rooftops Realm]
Rosin | strenuous | [Hidden in the Frozen World Realm]
Sausage Roll | strenuous | [Hidden in Classic Paradise]
Singapore Map | strenuous | [Hidden in Midnight Rooftops Realm]
Transmitter | strenuous | beep beep beep bep bep bep bop bep bep bep beep beep (Start near Roboty)
Zomball | strenuous | [Hidden in an unknown realm]
Zombified Clapboard | strenuous | [Hidden in an unknown realm]
Zombified Coiny | strenuous | [Hidden in an unknown realm]
Zombified Conch Shell | strenuous | [Hidden in an unknown realm]
Zombified Snowball | strenuous | [Hidden in an unknown realm]
Zombified Two | strenuous | [Hidden in an unknown realm]
A BFDIA | remorseless | [Hidden in the Yoyleland Realm]
Administratory | remorseless | [Start in Classic Paradise]
ARG Television | remorseless | start in firey speakerbox's area
Aurora Borealis | remorseless | [Hidden in Midnight Rooftops Realm]
BFB 1-29 Thumbnail Fusion | remorseless | [Hidden in Midnight Rooftops Realm]
Bird From Egypt | remorseless | [Hidden in Classic Paradise]
Cali | remorseless | [Start in the Yoylefactory Realm]
Chartreuse | remorseless | start in the throne room and find a way upwards
Corrupted Firey | remorseless | [Hidden in Midnight Rooftops Realm]
Front Facing Marker | remorseless | the method to get this is a complete secret. all i'll tell you is that you should try searching for something...
Hot Cheese Puff | remorseless | [Hidden in the Barren Desert Realm]
Ice Chunk | remorseless | [Hidden in the Frozen World Realm]
Jade | remorseless | [Hidden in Classic Paradise]
Moon | remorseless | [Hidden in Sakura Serenity]
Motionless | remorseless | AAAAAAAAAAAAAAAAAAAAA      (Made by AccountDoesNothing)
Obelus | remorseless | [Hidden in the Backrooms]
Orange Gemstone | remorseless | [Hidden in the Cherry Grove Realm]
Remote Event | remorseless | they look like they would get along so well! (Start in the Fourest)
SilvaGunner | remorseless | GRAND DAD?!? (Start in Goiky)
Soldery | remorseless | [Start in the Yoylefactory Realm]
Storm Ball | remorseless | The eye of the storm. (Hidden in Factory, find four buttons.)
USB Drive | remorseless | [Hidden in Midnight Rooftops Realm]
Winterous | remorseless | [Hidden in the Frozen World Realm]
Yellow Gemstone | remorseless | [Hidden in the Cherry Grove Realm]
You Tried Star | remorseless | [Hidden in the Barren Desert Realm]
Boltzmann's Brain | horrifying | begin by looking within the eye of the storm
Cake's Dad | horrifying | 
Contestants | horrifying | start by looking for a portal under the map
Dragonfruit | horrifying | this one is a button hunt
Freeze Juice | horrifying | your actions have consequences.
Peep | horrifying | peep. for the easter event. find fifteen eggs in fifteen realms!
Pesky Pentagon | horrifying | start in the backrooms. that's all.
Radioactive TV | horrifying | begin by looking through somewhere completely abandoned
Slimy | horrifying | start with a youtube link in midnight rooftops. capital letters only. the rest is up to you. be sure to return to midnight rooftops as well.
Sphere of Benevolence | horrifying | start by finding something in an unknown realm...  (Made by Cadalac8999)
Starwalker | horrifying | i am the original               starwalker
This Monstrosity | horrifying | begin by dropping down in the evil forest (Made by dnifnfi)
Wand | horrifying | the only way to get wand is by asking a certain object... perhaps a skull?
EVERYTHING | IMPOSSIBLE | woah it's the everything chomik ripoff who could forget
Hypostasis | IMPOSSIBLE | Hypostasis is the only being capable of nullifying the mere crystallization of the universe. Start in Frozen World, a badge description may help you.
The Crystallized Core | IMPOSSIBLE | The four crystals: knowledge... death... perseverance... benevolence... start by finding the latter. (Made by Cadalac8999)
Great Rhombicosidodecahedron |  | Is this the real life?
Bronze Medal | medal | ^^
Diamond Medal | medal | ^^
Gold Medal | medal | ^^
Silver Medal | medal | ^^
Void Medal | medal | ^^

== BACKROOMS OBJECTS ==
Clay | intermediate | did you know that i ate playdoh when i was 4 years old
Computer | intermediate | awaiting you at the exit
Ringy | intermediate | oh....
Jarry | hard | find a shelf somewhere
Lava Lamp | hard | do i even have to explain?
Poop | hard | this description is a piece of POOP!!!!
Black Square | extreme | i remember when black square went "it's black squarin' time" and black squared all over the place
Brick | extreme | oh no oh god why am i here
Charger Box | extreme | he isn't on the outlet he isn't on the outlet he isn't on the outlet he isn't on the outlet he isn't on the outlet
Cuber | extreme | [proceeds to update level 0 without explanation]
DS | extreme | he's such a gamer, he doesn't even need friends!
Icicle | extreme | inside a puddle of water
Power Outlet | extreme | remember when power outlet went "it's outlin' time" and outted all over the pl
Snowglobe | extreme | can you believe it guys? christmas! just a week away!
Announcer x 1222 | insane | you can't actually see him, despite being multiplied by 1222
Badge | insane | awaiting you at the exit
Blueberry Machine | insane | you give me: money, i give you: balls
Clowny | insane | HEY KIDS
Danger Sign | insane | what could be inside that very tiny proportionately sized hallway?
Locker | insane | it was just... a locker?
Music Box | insane | i simply don't know what to put here
One Recommended Character Per Recommender Sign | insane | he is not off-balance, hooray for him!
Phone | insane | find a wall you can noclip through
Plus | insane | find a ladder.. or not
Rainbow Orb | insane | congratulations, you've made it to level 4!
Accordion | dreadful | yes very accordion-like accordion accordion acc
Civil Siren | dreadful | WEE WOO WEE WOO!!!
Fermata | dreadful | look near a broken wall
Karate Pot | dreadful | i'm a... pot!!!!
Skateboard | dreadful | some people are blessed with talent
Bodywash Soapy | terrifying | complete an invisible maze
Cord | terrifying | sticking out of a vending machine
Cup Stacky | terrifying | they are stacking cups alone
Laundry Basket | terrifying | inside of a room with a mop
Mason | terrifying | i can't say the actual OC name unfortunately, but also this is annoying
Morganite | terrifying | find a way out of the map
Swirl | terrifying | MUAHAHA!!! a backrooms update!!! bet you weren't expecting that
Ushanka | terrifying | in russia, ushanka puts on you
Wild West Painting | terrifying | this truly shows everything about society
Fake Firey | arduous | caught you, faker!
Wolfy | arduous | behind a file cabinet
Galaxy Pillow | strenuous | there's a slightly miscolored locker.. look around it
Grandfather Clock | strenuous | i'll give you time to think about this one...
Metronome | strenuous | think about the song that plays
Nightlighty | strenuous | hope you aren't afraid of the dark >:)
Placeholdery | strenuous | this description is still a placeholder
Obelus | remorseless | the obelus is real..........

== BARREN DESERT OBJECTS ==
Bag of Sand | easy | hmm yes bag of sand
Bow And Arrow | easy | next to some other bows
Cheese Orb | easy | cheese orb is in the game. peace has been restored
Churro | easy | yeah
Curly Arrow | easy | no way!!!!! real!!!
Magic Conch | easy | look near where conch shell was in the main realm
Sand Clock | easy | look in one of those buildings
Can of Black Olives | normal | look around the map
Cardboard | normal | he's doing stuff n' things
Cheese Slice | normal | look in the abandoned hamlet
Ellipsis | normal | this one is at...
Firey Jr. Jr. | normal | at this point you can't even SEE him
Hazelnut | normal | hazelnut :DDDDD
Johnson | normal | the johnson is real
Robot Woody | normal | [insert robot screaming]
Wicker Basket | normal | there's a rusty building, look inside of it
Bacon Bit | hard | is it controbersial to say that i don't like bacon? it tastes.. awful
Fire Melon | hard | this melon is on fire!!!
Potato | hard | find some potatoes lying around
Think Emote | hard | this may require you to THINK about it
Toffee | hard | i have never heard of toffee before in my life
Virtual Pet Lizard | hard | find a wonky looking cactus
5 Yen Coin | extreme | donut is looking a little different today
Hashy | extreme | complete the obby near spawn!
Oyster | extreme | check the ceiling
Softball | extreme | there's a giant cactus, i think you can see it..
Fernandez | insane | reach towards the sun
Ice Bracelety | insane | ice in the desert? how does that make any sense
Pan Flute | insane | IT'S IN THE GOSH DARN WALLS!!!!
Sierpinski | terrifying | uhm.. what??? also, look under the map
Sponge Cake | terrifying | 1... 2... 3... 4... who do we? not adore? spongy!!! spongy!!! spongy!!!
Deep Fried Breath | strenuous | find yourself somewhere unprecedented
You Tried Star | strenuous | complete the four trials
Hot Cheese Puff | remorseless | find an encrypted message

== CLASSIC PARADISE OBJECTS ==
Broccoli | intermediate | Just having a picnic!
Buzzer | intermediate | The big red buzzer in a building.
GameGo | intermediate | Near one of the bridges.
Latte | intermediate | Near the gigantic tree, just chilling.
Mouthy | intermediate | On the beach.
Pear Tree | intermediate | Hidden in Greenhouse, try to get up the big pear tree.
Sidewalk | intermediate | On a sidewalk, where else do you think it would be?
Square Lemon | intermediate | Someone tell them to stop being so sour. (Hidden in Greenhouse)
Violet | intermediate | In the greenhouse, with all of her siblings!
Container | hard | Look on an island near spawn.
Fruit Bowl | hard | At one of the smaller islands in Greenhouse.
Grapes | hard | Hanging from a tree.
Meatloaf | hard | Look in the small cave area.
Redcurrant | hard | Get on top of the trees at spawn.
Amethyst | difficult | Where else do you think you'd find a gem, genius?
Emerald | difficult | In the cave, being antisocial.
Peapod | difficult | Find a way on top of the greenhouse.
Quiver | difficult | This sure does make me quiver... Look near where one may have passed away.
Elbow | extreme | Got stuck in a chimney (elbow-zo. hah. get it?)
Lancer | extreme | In the cave, chase after that rascal!
Robot Cake | extreme | Where do all robot cakes hide... Under a bridge, of course.
Spider Ball | extreme | Crawling around in the small cave area.
Bolty | unforgiving | Start by finding a weather machine.
Bug Zapper | unforgiving | Start in greenhouse, then look for pesky buzzing sounds.
Butter Churner | unforgiving | One of the houses is locked... perhaps you should find a key?
Iolite | unforgiving | Stuck between a ROCK and a hard place. (Start in Cave)
Asteroid | insane | Look in the cave for an obby. It starts in the upper floor.
Beetroot | insane | Start farming.
Crystal Firey | insane | In the cave. Talk to Emerald to know more.
Dioptase | insane | You can't reach that island. Unless... (Hidden in Cave)
Infinity | insane | Do each obby on the beach, starting with the blue one.
Magney | insane | Upstairs in the cave.
Rainbow Slinky | insane | Find a rainbow rectangle in the Greenhouse.
BFDIA 5b | dreadful | 5b is a game, and this object is under a platform!
Birdie | dreadful | When they talked about canaries in coal mines, I don't think this is what they meant. (Start in Cave)
Calamari Ring | dreadful | Something's off with one of the Lancer rooms...
Clickbait Arrow | dreadful | There's like twenty of them, I'm sure you'll be able to find them!
Peach | dreadful | Start by finding a book in Greenhouse.
Deadly | terrifying | Beware the door in the cave.
Grarblicker | terrifying | Find 5 buttons around the spawn and cave areas. (WARNING: TELEPORTING WILL REMOVE YOUR PROGRESS!!!)
Spinel | terrifying | Because this update didn't have enough gems, we just had to add another! (Start in Cave)
Veterany | terrifying | Get on top of the Starter Place house, then find another realm. Look under the bridges.
2009 Firey | arduous | Embrace your inner retro... Find 6 classic Roblox weapons around the map, then head to Starter Place.
Sausage Roll | arduous | sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll (in the Bird of Egypt obby)
Three-Leaf Clover | arduous | Find a set of clovers somewhere, then do 3 obbies.
Up Arrow | arduous | In Deadly's area, look in the opposite direction of where this arrow is pointing.
Oxygen | strenuous | Go where an unusual light shines.
Plastic Sun | strenuous | Start in Greenhouse - check near a lookalike of the object. [ hey a little fun fact! this was gonna be rem! ]
Administratory | remorseless | Get on top of the Starter Place house, then find another realm. Scavenge for buttons.
Bird From Egypt | remorseless | It's time to feel pain. Find the hieroglyphs.
Jade | remorseless | Take a leap of faith in the cave.
Cake's Dad | horrifying | Begin by going to Starter Place, check near the huge tree for a hint. Then, go to Timber Peaks, in search of a key. <b>All of this shall lead you to a perilous paradox.</b>

== EVIL FOREST OBJECTS ==
Evil Firey | insane | it's on the campfire, duh
Evil Book | dreadful | behind a large safe
Evil Gelatin | dreadful | look in the campsite
Evil Jarry | dreadful | find a cabin
Evil Spongy | dreadful | how would evil spongy even move around??
Torn Pillow | dreadful | people have asked me why i added this to the evil forest... and to that i say that pillow is a complete menace.
Evil David | terrifying | ylsuoires wa
Evil Pin | arduous | get trolled!! lol!!!!
Evily | strenuous | the evilest of them all!!!!!

== FROZEN WORLD OBJECTS ==
Frozen Steak | strenuous | jordan what have they DONE to you??? (Made by This_manisnothim)
Octahedron | strenuous | walk around until you see them, i guess
Rosin | strenuous | look on one of those strange structures
Ice Chunk | remorseless | up1nthe5ky
Winterous | remorseless | go to the edges
Freeze Juice | horrifying | complete the obby, then head to where penster lies

== INVERTED OBJECTS ==
pen pog | hard | poggers
Penny | hard | the start of a new journey
Robot Loser | hard | somewhere isolated
VR Headset | hard | put on these glasses and you'll enter the world of the game
ango | difficult | what do you think mangoes are from?
Box | difficult | there is definitely no key under that box
Box of Free Puppies | difficult | they're on sale in the steakhouse, which doesn't make sense now that i'm saying it
Coffin | difficult | classic egyptian stuff
Elevator | difficult | too bad it doesn't work
Folder | difficult | cons of being a folder: naming yourself con
Friesland | difficult | they sure do love their fries... and land (Made by AccountDoesNothing)
Liberty Bell | difficult | who told bell about the US of A
Meester Tweester | difficult | inside the pyramid
Pomegranatey | difficult | get noob!! pomegranate gonna do anything
Red Balloony | difficult | weee
Scarfy | difficult | check behind one of the classic trees (Made by lowk3y_TJ)
Slingshot | difficult | based
Toxic Mushroom | difficult | this guy and toxic bomb would be great pals
Zero Dollar Bill | difficult | it's worth not even a penny
Cube | extreme | cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube cube
Jello | extreme | he works with brain damage
Pink Cary | extreme | NO WAY IT'S PINK CARY HIMSELF!!!
Ribbon | extreme | i'll take my award for best-looking R in this realm
Specimum Sandwich | extreme | all alone up there
Yellow Pancake | extreme | got squished in the pyramid
Backpack | unforgiving | how is this even possible
Gramophone | unforgiving | in the inverted number playground house
Max | unforgiving | i don't have any words
Mouse Trap | unforgiving | jump from a window
Obsidian | unforgiving | i literally dare you to find out where this one is
Pesticide | unforgiving | me when there is a substance used for destroying insects or other organisms harmful to cultivated plants or to animals in my body
Sickle | unforgiving | they're hanging on for dear life
Steel Drum | unforgiving | i promise this will be a very creative description uh uhhh
Stringy | unforgiving | fall down twice, that's all
City of LAy | insane | does this imply that inverted realm is more than a thousand times bigger than the city of LA? and the player too???
Frame | insane | i honestly have no idea what this is supposed to be (hey guys it's me jade it's a keyframe from adobe animate)
Hyper | insane | what the fart is this
Ink | insane | gross
Ottoman | insane | the sick man of the inverted realm
Toothbrush | insane | that is not a genuine smile. they know exactly what they did. (Made by lowk3y_TJ)
Demon Ball | dreadful | AAAAAA SCARY MAN!!!!!!
Gold Block | dreadful | complete a timed obby after finding a button somewhere (Made by 0OFunkyPurple)
Jabuticaba | dreadful | do the gold block obby but uh... you're going the wrong way (Made by lowk3y_TJ)
Piece of Glass | dreadful | look near princess flower (Made by cluxser2)
Princess Flower | dreadful | impressive obby skills!
Toxic Bomb | dreadful | find a message and decode it
[Loading Object] | terrifying | Please wait while we process your chosen object.
Checkered Flag | terrifying | find an invisible platform
Geocache | terrifying | in the inverted jungle
Desert Pillar | arduous | start by exploring in the inverted jungle, then go to the area where toxic bomb is located (Made by 0OFunkyPurple)

== MAGMA CANYON OBJECTS ==
Bababa | normal | i love myself some bababas
Block Party | normal | IT'S HIM!!!!!! (Character is owned by illuminite06)
gas can | normal | I HATE WHEN MY GAS CANS
Spongy's Mother | normal | so... does this make spongezilla spongy's father?
Turkey | normal | Will this realm EVER get any good content? Find out next time on Find the BFB Characters the Totally Real Series that Definitely Exists!
Flour | hard | unrelated but i know what you did 5 minutes ago
Mr. Feet | hard | i hate everything about this
Pizza | hard | after AGES... after objects like pizza jr and cookie pizza... after millions of pizza rcs... WE  GET PIZZA IN GAME AS OBJECT!!!!
Shoe | hard | 1 2 buckle my... wait what is tha
wax slitly weathered cut copper stairs | hard | special thanks to Noobie_Sonic2 for this incredible idea
Meatball | extreme | infinite meatballs
Na | extreme | should i make davidland a realm? hmm, na.
refsbcj | extreme | sfdaasdjojfnjadlcxzqo
Robot Puppet | extreme | how could they do this to my man puppet!!!!
Shrimp Tempura | extreme | tasty
ca2 | insane | i don't know what this means but surely it means something
Cardy | insane | they love cards
Erlenmeyer | insane | oh boy this one sure is so much fun
Dynamite | strenuous | The way you get this one is genuinely deranged I'm sorry (Made by SleepyyXavier)

== MAIN REALM OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Anchor | effortless | in the water (Hidden in Goiky)
Bacon | effortless | right next to a fire (Hidden in Snowy)
Barbecue Sauce | effortless | look behind gelatin's steakhouse, which for the sake of the game has NOT been remade into gelatin's shadeshouse
Basketball | effortless | seems like someone has been shooting some hoops (Hidden in City)
Bell | effortless | whats at the top? (Hidden in Goiky)
Big Nickel | effortless | he's so big i don't know how you wouldn't find him
Birthday Cake | effortless | happy birthday! (it isn't your birthday) [Hidden in Candyland]
Bomby | effortless | explode! (Hidden at Hotel)
Book | effortless | In the City - where would you be most likely to find an annoying know-it-all?
Burrito | effortless | i've always had a soft spot for burritos (Hidden in Tropical Islands)
Bushy | effortless | haha, nice try! but you arent fooling anyone. (Hidden at Hotel)
Cactus | effortless | they thought they could blend in lol!!! (Hidden in Desert)
Camera | effortless | filmin and stuff (Hidden in City)
Cereal Box | effortless | bet you can't guess where this is oh wow this is so hard
Chalk | effortless | hmmmmm (Hidden in City)
Christmas Tree | effortless | Look near spawn- wait it's not even December WHO ON EARTH PUT UP THEIR CHRISTMAS TREE?!
Clock | effortless | tick... tock... tick... tock... ringalingalingaling (Hidden in Number Playground)
Cream Cookie | effortless | there is a very obvious way up at candyland
Diploma | effortless | congratulations you graduated high school now it's time for your life to turn to hell (Hidden in Classic Roblox)
Eight | effortless | on the top of a hill (Hidden in Number Playground)
Evil Leafy | effortless | look at that forest, lets go in! (Hidden in Goiky)
Fairy Floss | effortless | hmmm i wonder where this one is hmmmmmm
Fanny | effortless | she's somewhere awfully hot
Fifteen | effortless | LEAVE!!!! (Hidden in Floating Island)
Firey | effortless | you seriously need a hint for this?
First Aid Kit | effortless | i don't quite understand why they're at the warehouse of all places
Fish Monster | effortless | look on the beaches
Fishy | effortless | we're surrounding by fish, you know what that means? FISH!!!!!! (Hidden at Hotel)
Five | effortless | hanging out with three (Hidden in Number Playground)
Flower | effortless | look inside that house?
Flower Cake | effortless | OH MY FLOWER CAKE (Hidden in Floating Island)
Flower Jr. | effortless | she's admiring a masterpiece (Hidden in Floating Island)
Fries | effortless | i cant belive he managed to get his own resturant! (Hidden in City)
Fruit Cake | effortless | they're chilling near the hotel
Funny Plant | effortless | Have you accidentally killed a plant and want to revive it? Then why don't you set it on fire? And then freeze it? Let it grow on the sun? Or zap it? Make it a fancy dinner? Or feed it to a fish monster? Or push it off a cliff? Dance on it? Explode it? Vomit on it? Play with it underwater?
Gaty | effortless | wonder where she is being used for? (Hidden in Snowy)
Gelatin | effortless | tbh his resturant is much better then fries' (Hidden in City)
Golf Ball | effortless | sitting down is so nice (Hidden in Goiky)
Grassy | effortless | chillin in the grass (Hidden in Goiky)
Hot Cocoa | effortless | i tried hot cocoa a few months ago i didnt like it. man, these descriptions have devolved into just personal stories haven't they? (Hidden in Snowy)
Ice Woody | effortless | how did they combine the two? (Hidden in Snowy)
Icey | effortless | basically ice cube but a fine lady (Hidden in Snowy)
Jaiden | effortless | woof (Hidden in Hotel)
Leafy | effortless | trees are cool. (Hidden in Goiky)
Lotus Flower | effortless | Placeholder description i'll probably forget to change it but it's funnier like this (Hidden in Jungle)
Marble Bottle | effortless | how joyous (Hidden in Hotel)
Marker | effortless | playin toss the dirt (Hidden at Hotel)
Match | effortless | the freesmart van noooo!! (Hidden in Factory)
Milli | effortless | bark (Hidden in Hotel)
Mortar | effortless | Ever watch Brick and Mortar? (Hidden in Jungle) (Made by ThirteenthJade)
Naily | effortless | dont touch that spike! (Hidden in Snowy)
Noodle Cup | effortless | I am truthfully in tears from this series of events that has caused this exquisite noodle cup to be thrown onto the ground without explicit realization.
PaintyBook | effortless | where i keep my masterpieces (Hidden in Tropical Islands)
Pillow | effortless | sleeping. (Hidden in Goiky)
Pin | effortless | guess what pin? you won a win token! (Hidden in Number Playground)
Pineapple | effortless | who lives in a pineapple under the sea? (Hidden in Fossil Falls)
Pistachio | effortless | it looks like a pear inside an egg (Hidden at Hotel)
Pi±ata | effortless | it's on a tree, that's basically all you need to know
Prince Circle | effortless | what did they do to him (Hidden in Tropical Islands)
Pumpkin | effortless | behind a tree (Hidden in Goiky)
Purple Girl with Wind Hair and Angry Eyes | effortless | best character in bfb moment (Hidden in Candyland)
RCTI Cast | effortless | aha yes i know what rcti is it's uhh uhhhhh ermmm uh uhhhh (Hidden at Warehouse)
Robot Teardrop | effortless | being manufactured at the factory
Rusty Coin | effortless | im broke, buy my stuff. (Hidden in Desert)
Sandcastle | effortless | playing in the sand (Hidden in Number Playground)
Saw | effortless | whats she doing cutting that tree? (Hidden in Snowy)
Scissors | effortless | not sure if you can really just cut a tree down like that (Hidden in Floating Island)
Selfie Dog | effortless | what do they like to do? (Hidden in Snowy)
Shopping Cart | effortless | shopping for stuff! (Hidden in City)
Snare Drum | effortless | touch them! (Hidden in Snowy)
Snowman | effortless | come to think of it... how do these snowmen not even melt? (Hidden in Snowy)
Sotp Sign | effortless | JUST STOP IT. (Hidden in City)
Stapy | effortless | hangin out with marker (Hidden at Hotel)
Strawberry | effortless | they're enjoying a nice feast (Hidden in Goiky)
Ten | effortless | jacknjelifys 1 million subscribers! (Hidden in Number Playground)
Tent | effortless | who gave the tent boxing gloves (Hidden in Classic Roblox)
Three | effortless | hanging out with five (Hidden in Number Playground)
Traffic Cone | effortless | these inanimate objects are getting out of hand (Hidden in City)
Tree | effortless | Im a tree, im a tree. (Hidden in Goiky)
Trombone | effortless | right above snare drum (Hidden in Snowy)
Vote | effortless | vote using the square brackets! [C] for Blob (Hidden at Factory)
Water Bottle | effortless | water bottle is here to save the day!! (Hidden at Hotel)
Woody | effortless | where you think he is. (Hidden in Snowy)
X the Arcade Machine | effortless | SPOOOOOKY arcade machine!!! just in time for halloween (Hidden in Warehouse)
Zero | effortless | next to ten
8 Inch Floppy Disk | easy | haha i didnt make it 8 inches what will you do about it (Hidden in Classic Roblox)
Announcer | easy | flying with his ufo! (Hidden in City)
Apple | easy | hey apple! KNIFE!!! oh and this is near spawn
Arron | easy | arron my beloved (Hidden in Classic Roblox)
Atom | easy | it's right there (Hidden in Number Playground)
Avocado | easy | blending in! (Hidden in City)
Baby | easy | WAHHHH!!! WAHHHH!!!!! I NEED MILK!!!!!!!!!!! (Hidden In City)
Banana Apple | easy | sitting on a tree... (Hidden in Goiky)
Barry | easy | ourple (Hidden in Fossil Falls)
Birdhouse | easy | nature is epic.............. (Hidden at Hotel)
Blocky | easy | In an area he probably shouldn't be in. What a delinquent. (Start in Goiky)
Bozo | easy | hiding behind a vase (Hidden in City)
Car Door | easy | good thing you can't thlam your- (Hidden in City)
Clown Car | easy | go ahead, get in the clown car, you know it suits you (Hidden at Warehouse)
Club | easy | (Hidden in Factory)
Conch Shell | easy | for someone in the desert area, they look pretty rad
